Date      Temp  Humi  Wind  Rain   UV     Weather
01/01/09  30.2  58.6   6.6  0.00  0.26    mild-windy
01/02/09  23.2  75.6   8.2  0.00  0.31    cold-windy
01/03/09  10.3  67.4  10.4  0.00  0.28    cold-windy
01/04/09  14.3  50.9   3.5  0.00  0.35    cold-overcast
01/05/09  19.1  52.1   2.2  0.00  0.20    cold-overcast
01/06/09  32.2  52.5   7.0  0.00  0.32    mild-windy
01/07/09  28.5  80.7   2.1  0.05  0.18    cold-humid
01/08/09  38.3  76.8   3.8  0.05  0.29    mild-overcast
01/09/09  24.1  69.0  12.8  0.00  0.26    cold-windy
01/10/09  29.7  60.1   5.9  0.00  0.28    cold-windy
01/11/09  35.1  55.4   4.9  0.01  0.28    mild-overcast
01/12/09  24.2  63.1  13.8  0.01  0.25    cold-windy
01/13/09  34.5  60.0  13.1  0.00  0.37    mild-windy
01/14/09   5.7  80.1   6.1  0.00  0.31    cold-windy
01/15/09   9.0  82.6   6.7  0.00  0.23    cold-windy
01/16/09  36.5  62.7   4.7  0.07  0.51    mild-sunny
01/17/09  44.8  38.1  17.2  0.00  0.45    mild-windy
01/18/09  50.7  33.2  18.4  0.00  0.51    mild-windy
01/19/09  47.7  31.1  15.8  0.00  0.55    mild-windy
01/20/09  44.1  35.6   4.9  0.00  0.55    mild-sunny
01/21/09  44.2  30.5   1.9  0.00  0.55    mild-sunny
01/22/09  39.9  40.2   8.5  0.00  0.50    mild-windy
01/23/09   8.6  68.1  12.2  0.00  0.42    cold-windy
01/24/09   3.6  73.9   2.2  0.00  0.33    cold-overcast
01/25/09   4.2  78.3   2.9  0.00  0.19    cold-overcast
01/26/09   2.4  76.3   2.6  0.00  0.20    cold-overcast
01/27/09   3.6  72.2   2.3  0.01  0.45    cold-overcast
01/28/09  30.5  52.5  10.9  0.01  0.54    mild-windy
01/29/09  32.7  49.1   9.3  0.00  0.49    mild-windy
01/30/09  44.4  44.4  10.3  0.00  0.59    mild-windy
01/31/09  42.0  38.4   9.4  0.00  0.56    mild-windy
02/01/09  29.0  49.4   7.4  0.01  0.44    cold-windy
02/02/09  28.1  55.9   4.9  0.00  0.43    cold-overcast
02/03/09  26.1  72.9   3.3  0.00  0.55    cold-sunny
02/04/09  41.3  49.0   3.6  0.00  0.56    mild-sunny
02/05/09  46.5  33.8   4.5  0.00  0.52    mild-sunny
02/06/09  46.6  38.8   3.7  0.00  0.39    mild-overcast
02/07/09  38.5  62.2   7.1  0.00  0.59    mild-windy
02/08/09  35.9  76.1  11.4  0.06  0.34    mild-windy
02/09/09  36.4  80.6  11.5  0.35  0.06    mild-rainy
02/10/09  39.4  44.9   8.9  0.00  0.62    mild-windy
02/11/09  30.4  55.4   4.4  0.00  0.43    mild-overcast
02/12/09  28.0  65.8   2.3  0.00  0.55    cold-sunny
02/13/09  20.6  81.3   7.9  0.01  0.48    cold-windy
02/14/09  19.6  85.9   4.1  0.02  0.32    cold-humid
02/15/09  25.5  75.8   4.2  0.04  0.64    cold-sunny
02/16/09  30.9  68.5   2.7  0.00  0.68    mild-sunny
02/17/09  30.4  76.2   5.4  0.00  0.49    mild-windy
02/18/09  19.8  77.6   5.9  0.00  0.49    cold-windy
02/19/09  32.0  59.7   5.1  0.00  0.58    mild-windy
02/20/09  26.3  62.6  10.8  0.00  0.47    cold-windy
02/21/09  24.6  52.3   3.1  0.00  0.78    cold-sunny
02/22/09  24.2  63.5   5.8  0.00  0.69    cold-windy
02/23/09  34.7  60.6   3.6  0.00  0.72    mild-sunny
02/24/09  44.2  58.1   3.5  0.00  0.70    mild-sunny
02/25/09  35.4  77.6   5.5  0.01  0.74    mild-windy
02/26/09  10.4  82.3   8.9  0.00  0.59    cold-windy
02/27/09   4.4  79.8   6.7  0.00  0.64    cold-windy
02/28/09  14.2  73.3   3.1  0.06  0.91    cold-sunny
03/01/09  16.1  79.7   6.2  0.00  0.93    cold-windy
03/02/09  30.4  77.2   4.6  0.01  1.06    mild-sunny
03/03/09  42.7  64.1   3.5  0.00  1.10    mild-sunny
03/04/09  46.1  59.5   3.2  0.00  1.16    mild-sunny
03/05/09  41.1  58.3   5.6  0.00  0.75    mild-windy
03/06/09  25.3  79.5   4.8  0.00  0.22    cold-overcast
03/07/09  27.9  80.2   9.8  0.00  0.64    cold-windy
03/08/09  33.3  72.5   5.4  0.00  1.00    mild-windy
03/09/09  12.6  82.9  10.8  0.00  0.53    cold-windy
03/10/09   0.5  79.4   7.9  0.00  0.95    cold-windy
03/11/09   4.3  77.6   6.0  0.00  1.19    cold-windy
