Date      Temp  Humi  Wind  Rain   UV     Weather
01/01/13  25.4  66.5   4.6  0.00  0.33    cold-overcast
01/02/13  26.5  66.8  11.0  0.00  0.25    cold-windy
01/03/13  21.3  67.0   2.4  0.00  0.36    cold-overcast
01/04/13  31.5  46.9   2.0  0.00  0.37    mild-overcast
01/05/13  34.6  48.2   7.2  0.00  0.36    mild-windy
01/06/13  33.6  47.0   3.7  0.00  0.35    mild-overcast
01/07/13  35.1  55.2   1.9  0.00  0.34    mild-overcast
01/08/13  37.4  57.5   5.5  0.00  0.34    mild-windy
01/09/13  37.1  59.0   4.2  0.00  0.39    mild-overcast
01/10/13  40.4  48.0   6.5  0.00  0.28    mild-windy
01/11/13  17.1  75.1  13.1  0.00  0.07    cold-windy
01/12/13   9.8  65.7   9.0  0.00  0.29    cold-windy
01/13/13  12.0  63.8   2.4  0.00  0.32    cold-overcast
01/14/13   9.6  68.3   3.0  0.00  0.37    cold-overcast
01/15/13  24.2  63.5   4.5  0.01  0.30    cold-overcast
01/16/13  43.9  42.6   6.3  0.00  0.43    mild-windy
01/17/13  39.7  48.6   3.5  0.00  0.44    mild-overcast
01/18/13  45.0  34.5   3.4  0.00  0.45    mild-overcast
01/19/13  35.4  53.5   8.0  0.00  0.48    mild-windy
01/20/13  17.7  74.7   7.9  0.00  0.36    cold-windy
01/21/13  13.4  77.9   4.0  0.00  0.34    cold-overcast
01/22/13  19.1  71.7   2.1  0.00  0.48    cold-overcast
01/23/13  17.5  73.2   5.5  0.00  0.30    cold-windy
01/24/13  25.3  65.9   4.4  0.00  0.49    cold-overcast
01/25/13  35.9  57.0   3.0  0.00  0.48    mild-overcast
01/26/13  37.7  58.4   1.4  0.00  0.50    mild-sunny
01/27/13  35.4  69.7   3.6  0.00  0.42    mild-overcast
01/28/13  29.9  84.0   4.6  0.00  0.18    cold-humid
01/29/13  25.5  63.9   8.1  0.02  0.44    cold-windy
01/30/13  10.6  76.7   3.4  0.00  0.36    cold-overcast
01/31/13   7.2  73.9   7.5  0.00  0.39    cold-windy
02/01/13  30.1  69.8   4.1  0.01  0.41    mild-overcast
02/02/13  39.0  50.7   9.0  0.00  0.55    mild-windy
02/03/13  39.5  49.9   4.8  0.00  0.52    mild-sunny
02/04/13  36.1  58.6   2.7  0.00  0.45    mild-overcast
02/05/13  41.0  54.4   4.1  0.00  0.60    mild-sunny
02/06/13  41.1  50.0   5.4  0.00  0.54    mild-windy
02/07/13  38.9  45.9   3.8  0.00  0.58    mild-sunny
02/08/13  34.3  57.9   3.2  0.00  0.48    mild-overcast
02/09/13  30.4  68.7   8.3  0.00  0.48    mild-windy
02/10/13  26.6  72.7  15.0  0.00  0.27    cold-windy
02/11/13  21.1  65.1   2.8  0.00  0.58    cold-sunny
02/12/13  33.5  50.5   4.6  0.00  0.57    mild-sunny
02/13/13  39.5  51.2   8.5  0.00  0.49    mild-windy
02/14/13  27.4  59.7  11.2  0.00  0.45    cold-windy
02/15/13  25.7  54.0   6.4  0.00  0.57    cold-windy
02/16/13  43.5  46.0   6.0  0.00  0.74    mild-windy
02/17/13  39.7  52.2   7.8  0.00  0.65    mild-windy
02/18/13  26.7  61.9  13.4  0.00  0.60    cold-windy
02/19/13  16.1  70.3   8.3  0.00  0.55    cold-windy
02/20/13  22.7  62.9  10.7  0.00  0.59    cold-windy
02/21/13  21.1  82.7   6.2  0.01  0.42    cold-windy
02/22/13  25.1  76.0   2.7  0.02  0.59    cold-sunny
02/23/13  34.1  47.8   2.8  0.00  0.66    mild-sunny
02/24/13  31.5  71.1   8.6  0.00  0.39    mild-windy
02/25/13  32.5  44.5   5.5  0.00  0.80    mild-windy
02/26/13  32.2  63.4   9.3  0.00  0.63    mild-windy
02/27/13  30.5  62.9   7.3  0.00  0.69    mild-windy
02/28/13  29.5  68.1   2.1  0.00  0.63    cold-sunny
03/01/13  35.3  50.1   2.6  0.00  0.71    mild-sunny
03/02/13  47.8  46.6   3.7  0.00  0.75    mild-sunny
03/03/13  47.0  48.1   5.6  0.00  0.81    mild-windy
03/04/13  27.4  47.0  14.5  0.00  0.63    cold-windy
03/05/13  21.8  56.7   4.4  0.00  0.88    cold-sunny
03/06/13  30.1  57.5   6.0  0.00  0.91    mild-windy
03/07/13  40.5  53.7   5.7  0.00  0.86    mild-windy
03/08/13  34.0  69.2   4.1  0.00  0.70    mild-sunny
03/09/13  32.7  66.1  13.0  0.00  0.61    mild-windy
03/10/13  30.2  49.8   8.2  0.00  0.94    mild-windy
03/11/13  37.1  43.5  10.2  0.00  0.81    mild-windy
03/12/13  31.6  34.3  10.2  0.00  0.92    mild-windy
03/13/13  45.8  34.9   4.7  0.00  1.02    mild-sunny
03/14/13  58.7  35.0   2.7  0.00  1.12    mild-sunny
03/15/13  52.7  41.1   7.2  0.00  1.00    mild-windy
03/16/13  28.4  83.1   6.1  0.02  0.31    cold-windy
03/17/13  30.9  80.3  12.2  0.02  0.57    mild-windy
03/18/13  26.5  50.1   7.9  0.00  0.87    cold-windy
03/19/13  30.8  46.0   8.2  0.00  0.86    mild-windy
03/20/13  30.0  49.9   6.9  0.00  1.00    mild-windy
03/21/13  29.0  64.7   5.4  0.00  0.83    cold-windy
03/22/13  25.4  86.4   4.5  0.05  0.62    cold-humid
03/23/13  19.5  74.8   8.3  0.01  1.09    cold-windy
03/24/13  16.2  71.0   8.7  0.00  0.98    cold-windy
03/25/13  19.8  67.2   3.8  0.01  1.07    cold-sunny
03/26/13  27.5  62.6   3.8  0.00  1.03    cold-sunny
03/27/13  38.2  53.6   2.4  0.00  1.15    mild-sunny
03/28/13  47.2  45.8   2.1  0.00  1.18    mild-sunny
03/29/13  52.4  44.7   4.3  0.01  0.91    mild-sunny
03/30/13  47.6  56.9   6.2  0.04  0.75    mild-windy
03/31/13  40.0  57.0   4.3  0.00  1.28    mild-sunny
04/01/13  37.9  60.8   2.9  0.00  1.45    mild-sunny
04/02/13  43.0  48.2   3.6  0.00  1.41    mild-sunny
04/03/13  51.2  44.4   6.7  0.00  1.25    mild-windy
04/04/13  43.0  49.1   5.8  0.00  1.33    mild-windy
04/05/13  46.0  49.7   4.6  0.00  1.08    mild-sunny
04/06/13  54.7  46.6   6.9  0.00  1.18    mild-windy
04/07/13  50.4  59.1   2.1  0.08  1.08    mild-sunny
04/08/13  32.5  82.4   8.3  0.00  0.35    mild-windy
04/09/13  13.8  84.8  13.1  0.00  0.65    cold-windy
04/10/13  19.5  85.9   9.9  0.00  1.35    cold-windy
04/11/13  29.5  73.9   7.9  0.00  2.19    cold-windy
04/12/13  32.8  79.0   3.8  0.02  1.07    mild-sunny
04/13/13  31.3  80.8   4.8  0.00  1.44    mild-humid
04/14/13  31.1  77.5  11.2  0.00  1.01    mild-windy
04/15/13  28.0  59.5   9.8  0.00  1.53    cold-windy
04/16/13  26.5  77.9   2.9  0.06  0.75    cold-sunny
04/17/13  26.0  87.1   6.2  0.16  0.48    cold-rainy
04/18/13  28.5  66.0   8.6  0.05  1.61    cold-windy
04/19/13  34.1  77.2   5.7  0.04  0.90    mild-windy
04/20/13  39.9  73.8   5.3  0.05  1.40    mild-windy
04/21/13  40.4  77.6   5.1  0.11  0.80    mild-rainy
04/22/13  26.3  83.4   5.9  0.01  0.74    cold-windy
04/23/13  28.1  61.1   4.4  0.19  1.77    cold-rainy
04/24/13  37.7  54.3   8.0  0.00  1.36    mild-windy
04/25/13  48.7  48.3   3.3  0.00  1.50    mild-sunny
04/26/13  57.9  34.9   3.9  0.00  1.58    mild-sunny
04/27/13  63.0  34.6   3.7  0.00  1.75    hot-sunny
04/28/13  59.3  41.9   9.8  0.02  1.52    mild-windy
04/29/13  58.1  53.2   7.7  0.00  1.45    mild-windy
04/30/13  45.4  46.2   9.5  0.00  1.11    mild-windy
05/01/13  38.6  42.9   7.2  0.00  1.40    mild-windy
05/02/13  43.4  38.7   3.6  0.00  1.36    mild-sunny
05/03/13  48.7  35.3   4.0  0.00  1.93    mild-sunny
05/04/13  47.0  34.2   2.5  0.00  1.85    mild-sunny
05/05/13  50.1  33.8   3.4  0.00  1.90    mild-sunny
05/06/13  56.7  34.3   4.1  0.00  1.92    mild-sunny
05/07/13  59.7  43.8   5.4  0.00  1.65    mild-windy
05/08/13  60.2  50.3   3.4  0.00  1.99    hot-sunny
05/09/13  55.3  57.2   3.0  0.00  1.60    mild-sunny
05/10/13  58.6  50.9   5.5  0.07  1.84    mild-windy
05/11/13  51.9  39.1   3.9  0.00  1.97    mild-sunny
05/12/13  60.2  39.8   5.5  0.00  2.11    hot-windy
05/13/13  77.6  30.5   5.0  0.00  2.00    hot-windy
05/14/13  71.5  36.3   6.8  0.00  2.26    hot-windy
05/15/13  65.7  39.7   5.6  0.00  2.17    hot-windy
05/16/13  65.0  59.3   6.4  0.23  1.17    hot-rainy
05/17/13  65.6  62.0   3.9  0.00  1.93    hot-sunny
05/18/13  61.5  70.6   3.4  0.54  1.28    hot-rainy
05/19/13  54.9  83.9   7.9  0.09  0.73    mild-windy
05/20/13  50.1  77.5  17.6  0.16  1.24    mild-rainy
05/21/13  45.7  80.5  12.6  0.17  1.14    mild-rainy
