Date      Temp  Humi  Wind  Rain   UV     Weather
01/01/11   9.2  61.4   4.2  0.00  0.32    cold-overcast
01/02/11  20.4  65.4   2.1  0.00  0.32    cold-overcast
01/03/11  17.7  70.4   4.1  0.00  0.34    cold-overcast
01/04/11  20.5  65.6   1.8  0.00  0.32    cold-overcast
01/05/11  32.6  61.2   5.4  0.00  0.31    mild-windy
01/06/11  42.8  55.0   7.9  0.03  0.38    mild-windy
01/07/11  30.1  61.1  10.2  0.00  0.40    mild-windy
01/08/11  20.8  85.9   8.5  0.00  0.27    cold-windy
01/09/11  11.2  77.0  10.1  0.00  0.33    cold-windy
01/10/11   4.9  66.4   5.5  0.00  0.34    cold-windy
01/11/11   2.9  65.7   4.9  0.00  0.37    cold-overcast
01/12/11   4.1  71.2   5.0  0.00  0.38    cold-windy
01/13/11  33.9  65.1   2.4  0.00  0.39    mild-overcast
01/14/11  28.8  73.6   4.2  0.00  0.33    cold-overcast
01/15/11  13.5  80.2   4.8  0.00  0.24    cold-humid
01/16/11  26.9  81.0   2.0  0.01  0.22    cold-humid
01/17/11  29.7  79.3   7.3  0.02  0.19    cold-windy
01/18/11  11.7  83.5   4.1  0.00  0.19    cold-humid
01/19/11  15.5  72.6   1.9  0.06  0.33    cold-overcast
01/20/11  14.5  77.7   4.1  0.00  0.43    cold-overcast
01/21/11  33.3  63.4   7.8  0.01  0.41    mild-windy
01/22/11  21.3  82.1   4.3  0.08  0.25    cold-humid
01/23/11  23.4  72.4   5.5  0.02  0.40    cold-windy
01/24/11  32.2  58.0   9.9  0.00  0.44    mild-windy
01/25/11  32.1  68.5   5.1  0.00  0.37    mild-windy
01/26/11  38.5  61.0   2.8  0.00  0.48    mild-overcast
01/27/11  47.6  45.3   5.5  0.00  0.51    mild-windy
01/28/11  46.2  43.2   5.6  0.00  0.56    mild-windy
01/29/11  26.5  86.6   4.5  0.00  0.10    cold-humid
01/30/11  12.0  87.0   2.8  0.00  0.14    cold-humid
01/31/11  -3.4  78.8   9.0  0.00  0.59    cold-windy
02/01/11  -6.4  70.1   6.8  0.00  0.52    cold-windy
02/02/11   1.1  77.0   2.2  0.00  0.55    cold-sunny
02/03/11  29.2  68.5   3.3  0.00  0.53    cold-sunny
02/04/11  40.5  59.9   4.3  0.01  0.44    mild-overcast
02/05/11  38.0  69.4  13.3  0.02  0.41    mild-windy
02/06/11  25.8  78.8  12.3  0.00  0.43    cold-windy
02/07/11  11.1  84.1   4.7  0.00  0.37    cold-humid
02/08/11   0.0  73.9   3.2  0.00  0.62    cold-sunny
02/09/11   9.2  62.9   3.1  0.00  0.60    cold-sunny
02/10/11  29.1  50.7   5.5  0.02  0.55    cold-windy
02/11/11  37.7  53.5   6.1  0.00  0.63    mild-windy
02/12/11  49.2  33.6   5.9  0.00  0.65    mild-windy
02/13/11  50.7  29.2  11.2  0.00  0.77    mild-windy
02/14/11  44.6  43.6   6.4  0.00  0.74    mild-windy
02/15/11  54.6  26.4   4.9  0.00  0.75    mild-sunny
02/16/11  52.0  31.2   5.3  0.00  0.65    mild-windy
02/17/11  41.0  40.4   8.7  0.00  0.67    mild-windy
02/18/11  29.4  59.1   4.1  0.00  0.58    cold-sunny
02/19/11  15.7  82.0   3.9  0.00  0.38    cold-humid
02/20/11   3.2  81.3   9.3  0.00  0.49    cold-windy
02/21/11   3.1  76.4   4.1  0.00  0.85    cold-sunny
02/22/11  21.4  68.1   1.5  0.14  0.88    cold-rainy
02/23/11  21.1  73.7   6.6  0.00  0.75    cold-windy
02/24/11   1.5  79.3   6.2  0.00  0.73    cold-windy
02/25/11  -3.8  78.0   4.6  0.00  0.66    cold-sunny
02/26/11   2.1  78.9   4.5  0.00  0.69    cold-sunny
02/27/11  18.4  73.9   3.1  0.08  0.78    cold-sunny
02/28/11  27.0  60.5   2.9  0.02  0.82    cold-sunny
03/01/11  16.6  64.8   7.2  0.01  1.05    cold-windy
03/02/11   2.1  79.7   5.2  0.00  0.77    cold-windy
03/03/11  25.7  66.0   2.7  0.00  0.81    cold-sunny
03/04/11  18.8  82.3   4.2  0.08  0.56    cold-humid
03/05/11  18.9  88.1   5.3  0.00  0.47    cold-windy
03/06/11  15.9  88.1   6.4  0.00  0.49    cold-windy
03/07/11   5.7  83.7   7.6  0.00  0.73    cold-windy
03/08/11  12.3  84.3   2.9  0.07  0.41    cold-humid
03/09/11  28.9  69.9   3.3  0.04  1.06    cold-sunny
03/10/11  39.2  60.1   4.8  0.00  1.16    mild-sunny
03/11/11  45.7  43.3  12.1  0.00  0.92    mild-windy
03/12/11  33.8  64.8   2.9  0.00  0.91    mild-sunny
03/13/11  36.3  72.6   5.1  0.00  0.99    mild-windy
03/14/11  43.6  58.9   4.2  0.00  1.00    mild-sunny
03/15/11  47.0  48.0   4.6  0.00  1.06    mild-sunny
03/16/11  51.9  50.5   5.1  0.00  0.80    mild-windy
03/17/11  45.3  52.1   5.6  0.03  0.93    mild-windy
03/18/11  43.8  44.9   4.8  0.00  1.08    mild-sunny
03/19/11  48.4  47.3   7.0  0.00  0.87    mild-windy
03/20/11  49.8  35.2   4.8  0.00  1.06    mild-sunny
03/21/11  45.3  57.4   7.2  0.00  0.61    mild-windy
03/22/11  38.7  77.7   6.5  0.02  0.85    mild-windy
03/23/11  31.2  72.0  10.6  0.00  0.80    mild-windy
03/24/11  31.8  71.0   8.1  0.00  0.85    mild-windy
03/25/11  29.7  84.6   5.3  0.00  0.27    cold-windy
03/26/11  28.9  92.6   3.8  0.00  0.28    cold-humid
03/27/11  30.1  93.7   0.0  0.00  0.67    mild-humid
03/28/11  30.5  90.5   7.8  0.10  0.85    mild-rainy
03/29/11  31.8  80.2   5.5  0.00  1.00    mild-windy
03/30/11  37.6  74.2   3.1  0.05  0.98    mild-sunny
03/31/11  44.3  67.8   6.0  0.10  0.78    mild-rainy
04/01/11  45.6  66.8   4.8  0.01  1.21    mild-sunny
04/02/11  56.7  48.2   7.5  0.00  1.13    mild-windy
04/03/11  40.1  58.6  15.8  0.02  0.88    mild-windy
04/04/11  39.2  43.3   6.5  0.00  1.21    mild-windy
04/05/11  47.0  45.2   6.3  0.00  1.46    mild-windy
04/06/11  47.2  47.0   4.4  0.00  1.29    mild-sunny
04/07/11  53.9  46.9   8.7  0.00  1.47    mild-windy
04/08/11  51.2  69.1   6.5  0.18  1.21    mild-rainy
04/09/11  41.1  86.5   5.9  0.09  0.40    mild-windy
04/10/11  46.6  64.9   9.3  0.01  0.99    mild-windy
04/11/11  52.7  43.9   4.0  0.00  1.91    mild-sunny
04/12/11  50.3  45.8   8.3  0.00  1.64    mild-windy
04/13/11  43.8  63.3   7.6  0.19  1.27    mild-rainy
04/14/11  30.5  82.8   6.8  0.07  0.41    mild-windy
04/15/11  31.2  86.1  10.7  0.00  0.07    mild-windy
04/18/11  31.7  91.9   7.1  0.03  0.24    mild-windy
04/19/11  32.0  84.9   7.8  0.01  0.69    mild-windy
04/20/11  37.8  61.3   4.8  0.00  1.77    mild-sunny
04/21/11  49.8  67.5   7.8  0.77  1.63    mild-rainy
04/22/11  42.5  65.8  10.1  0.06  1.26    mild-windy
04/23/11  42.7  53.1   6.4  0.01  1.82    mild-windy
04/24/11  45.5  56.7   6.0  0.00  2.01    mild-windy
04/25/11  47.0  61.9   3.5  0.00  1.83    mild-sunny
04/26/11  43.8  71.1   4.7  0.00  1.15    mild-sunny
04/27/11  43.7  75.9   4.9  0.25  1.26    mild-rainy
04/28/11  55.4  37.6   5.9  0.00  2.13    mild-windy
04/29/11  43.3  55.6   9.7  0.00  1.21    mild-windy
04/30/11  41.1  45.9  16.2  0.00  1.53    mild-windy
05/01/11  43.4  54.9   9.1  0.01  1.56    mild-windy
05/02/11  44.2  49.7   4.2  0.00  1.67    mild-sunny
05/03/11  52.0  43.5   7.4  0.00  2.05    mild-windy
05/04/11  51.9  45.7   9.9  0.00  1.91    mild-windy
05/05/11  53.3  39.3   4.5  0.00  2.39    mild-sunny
05/06/11  57.1  38.7   8.1  0.00  1.83    mild-windy
05/07/11  60.0  42.0   5.0  0.00  1.96    hot-windy
05/08/11  62.8  49.6   4.2  0.00  2.31    hot-sunny
05/09/11  57.8  76.4   8.2  0.06  0.85    mild-windy
05/10/11  57.2  55.1   7.0  0.00  2.79    mild-windy
05/11/11  46.5  72.9   9.0  0.16  0.91    mild-rainy
05/12/11  45.1  81.5   9.0  0.32  0.90    mild-rainy
05/13/11  46.1  68.5   9.9  0.00  2.19    mild-windy
05/14/11  38.9  78.0  10.1  0.02  0.84    mild-windy
05/15/11  46.4  63.4   5.8  0.00  2.60    mild-windy
05/16/11  52.9  55.8  10.7  0.00  2.60    mild-windy
05/17/11  53.7  61.8   7.0  0.01  1.06    mild-windy
05/18/11  50.2  83.6   7.5  0.36  0.79    mild-rainy
05/19/11  45.8  87.9   4.7  1.85  0.07    mild-rainy
05/20/11  55.6  70.7   5.4  0.52  2.27    mild-rainy
05/21/11  52.7  75.0   4.6  0.56  1.15    mild-rainy
05/22/11  54.8  78.1   4.6  0.07  1.28    mild-sunny
05/23/11  59.7  72.5   3.2  0.02  2.20    mild-sunny
05/24/11  51.6  92.7   4.9  1.65  0.40    mild-rainy
05/25/11  50.6  72.9   5.4  0.00  2.58    mild-windy
05/26/11  53.7  67.1   8.5  0.07  1.80    mild-windy
05/27/11  54.5  54.3   3.5  0.00  1.75    mild-sunny
05/28/11  54.8  50.0   3.1  0.00  2.19    mild-sunny
05/29/11  47.9  89.3   3.8  1.72  0.46    mild-rainy
05/30/11  53.8  72.6   4.4  0.53  1.61    mild-rainy
05/31/11  57.2  49.0   5.7  0.00  2.85    mild-windy
06/01/11  57.5  67.6   6.2  0.00  2.85    mild-windy
06/02/11  71.9  58.3   7.3  0.00  3.21    hot-windy
06/03/11  67.8  27.1   6.3  0.00  3.10    hot-windy
06/04/11  61.8  51.2   4.8  0.00  2.95    hot-sunny
06/05/11  71.0  59.5   4.1  0.00  2.91    hot-sunny
06/06/11  73.0  59.1   3.1  0.08  3.06    hot-sunny
06/07/11  72.5  34.9   7.2  0.00  2.99    hot-windy
06/08/11  52.0  65.8   7.3  0.00  1.27    mild-windy
06/09/11  50.3  83.4   4.6  0.54  0.59    mild-rainy
06/10/11  53.9  78.8   6.1  0.04  2.10    mild-windy
06/11/11  57.5  79.1   6.1  0.33  2.17    mild-rainy
06/12/11  66.0  64.7   4.6  0.00  2.62    hot-sunny
06/13/11  66.9  58.6   4.1  0.08  2.83    hot-sunny
